,Street,DayOfWeek,City,Hour,Month,Temperature(F),Weather_Condition,Humidity(%),Visibility(mi),Precipitation(in),High_Risk_Prediction,High_Risk_Probability
863146,I-5 S,Wednesday,Olympia,8,10,47.0,Mostly Cloudy,91.0,10.0,0.02,1,0.8433333333333333
1756010,I-5 S,Sunday,Everett,21,10,49.0,Cloudy,90.0,10.0,0.0,1,0.84
7144693,I-405 N,Wednesday,Renton,23,4,51.0,Cloudy,89.0,10.0,0.0,1,0.72
7281830,I-405 S,Monday,Bellevue,10,10,61.0,Cloudy,58.0,10.0,0.0,1,0.545
4769973,I-405 S,Thursday,Lynnwood,0,12,32.0,Fog,96.0,1.0,0.0,1,0.635
3670352,I-405 S,Sunday,Bothell,13,3,55.0,Mostly Cloudy,45.0,10.0,0.0,1,0.58
435891,I-5 N,Friday,Seattle,21,4,48.9,Overcast,77.0,10.0,0.0,1,0.745
3149870,I-5 S,Tuesday,Lynnwood,11,10,48.0,Clear,61.0,10.0,0.007711515863689778,1,0.78
1433185,I-5 N,Sunday,Seattle,13,8,70.0,Fair,41.0,10.0,0.0,1,0.5225
7430987,I-405 N,Monday,Renton,11,12,46.0,Rain,83.0,4.0,0.03,1,0.76
6635662, Enchanted Pkwy S,Monday,Federal Way,2,12,35.0,Fair,92.0,10.0,0.0,1,0.61
2298499,I-5 S,Tuesday,Mountlake Terrace,6,2,30.9,Scattered Clouds,72.0,10.0,0.007711515863689778,1,0.8216666666666665
1437444,I-5 S,Monday,Seattle,6,5,57.0,Cloudy,81.0,10.0,0.0,1,0.72
554282,I-5 S,Saturday,Tacoma,9,7,58.0,Cloudy,91.0,10.0,0.0,1,0.84
2652849,I-90 E,Wednesday,Bellevue,15,8,88.0,Haze,21.0,4.0,0.007711515863689778,1,0.6
396211,Front St N,Wednesday,Issaquah,10,3,55.0,Mostly Cloudy,67.0,10.0,0.007711515863689778,1,0.67
630247,I-5 N,Saturday,Marysville,14,4,59.0,Fair,53.0,10.0,0.0,1,0.93
1144649,I-5 N,Saturday,Arlington,7,2,27.0,Snow,93.0,0.5,0.03,1,0.68
3762764,I-5 N,Saturday,Everett,14,5,62.0,Partly Cloudy,58.0,10.0,0.0,1,0.525
776400,I-5 S,Thursday,Seattle,9,12,41.0,Cloudy,82.0,10.0,0.0,1,0.865
2694608,Bucoda Hwy SE,Saturday,Tenino,18,7,84.9,Clear,27.0,10.0,0.007711515863689778,1,0.54
3227116,I-405 N,Tuesday,Bellevue,16,10,57.0,Overcast,77.0,10.0,0.007711515863689778,1,0.91
7462722,I-405 S,Monday,Bellevue,9,10,59.0,Light Rain,87.0,4.0,0.0,1,0.7025
7648408,I-205 N,Friday,Vancouver,15,8,79.0,Partly Cloudy,45.0,10.0,0.007711515863689778,1,0.5541666666666667
2810268,Pioneer St,Saturday,Ridgefield,18,5,78.1,Clear,32.0,10.0,0.007711515863689778,1,0.83
3583245,I-405 N,Tuesday,Renton,10,3,50.0,Overcast,74.0,10.0,0.007711515863689778,1,0.8266666666666667
2977696,Northup Way,Friday,Bellevue,19,2,52.0,Mostly Cloudy,83.0,10.0,0.007711515863689778,1,0.65
7452072,I-5 N,Tuesday,Lynnwood,18,11,51.1,Overcast,48.0,10.0,0.007711515863689778,1,0.76
7423754,I-5 N,Friday,Tacoma,17,11,45.3,Light Rain,99.0,10.0,0.03,1,0.8
310612,NE 44th St,Wednesday,Renton,11,9,62.1,Clear,62.0,10.0,0.007711515863689778,1,0.93
2293742,I-5 S,Saturday,Tacoma,14,2,42.8,Mostly Cloudy,93.0,10.0,0.007711515863689778,1,0.9
511918,I-5 N,Sunday,Everett,17,7,69.1,Clear,58.0,10.0,0.007711515863689778,1,0.88
1775908,I-90 E,Tuesday,Issaquah,18,10,41.0,Fair,43.0,10.0,0.0,1,0.98
6611432,I-5 S,Wednesday,Kent,21,9,60.0,Cloudy,90.0,10.0,0.03,1,0.65
3540091,I-5 N,Friday,Seattle,11,9,59.0,Light Rain,83.0,10.0,0.007711515863689778,1,0.66
2292879,US Highway 101,Friday,Brinnon,18,2,35.6,Overcast,100.0,10.0,0.007711515863689778,1,0.51
309292,Banner Way NE,Thursday,Seattle,10,11,57.0,Partly Cloudy,83.0,10.0,0.007711515863689778,1,0.65
7623781,I-5 S,Wednesday,Burlington,20,10,53.6,Overcast,94.0,7.0,0.05,1,0.6233333333333333
490587,I-405 N,Friday,Renton,9,6,61.0,Mostly Cloudy,70.0,10.0,0.007711515863689778,1,0.69
310332,17th Ave NW,Tuesday,Issaquah,11,9,66.0,Clear,54.0,10.0,0.007711515863689778,1,0.825
7658233,I-5 S,Thursday,Seattle,5,4,46.0,Light Rain,86.0,6.0,0.03,1,0.64
2736355,I-90 E,Wednesday,Cheney,7,6,55.0,Mostly Cloudy,53.0,10.0,0.007711515863689778,1,0.6975
2872347,I-5 S,Thursday,Everett,6,4,39.9,Mostly Cloudy,97.0,10.0,0.007711515863689778,1,0.74
2489400,I-405 N,Thursday,Bothell,4,10,45.0,Clear,80.0,10.0,0.007711515863689778,1,0.945
3232789,Everson Goshen Rd,Thursday,Everson,2,10,44.1,Scattered Clouds,96.0,10.0,0.0,1,0.547
5528596,I-5 N,Thursday,Olympia,23,11,47.0,Light Rain,97.0,10.0,0.0,1,0.7183333333333334
1834257,I-5 N,Monday,Seattle,16,11,44.0,Cloudy,79.0,10.0,0.0,1,0.79
7618024,I-405 S,Wednesday,Bothell,5,10,48.0,Clear,89.0,10.0,0.007711515863689778,1,0.7775
6833431,I-5 N,Monday,Seattle,23,12,39.0,Cloudy,86.0,10.0,0.0,1,0.61
7606457,I-5 N,Sunday,Everett,2,11,35.1,Light Snow,96.0,6.0,0.0,1,0.685
7617541,I-5 N,Tuesday,Everett,13,10,59.0,Clear,51.0,10.0,0.007711515863689778,1,0.8966666666666667
709559,NE 45th St,Monday,Seattle,12,2,50.0,Mostly Cloudy,77.0,10.0,0.0,1,0.73
2693769,I-5 S,Friday,Milton,18,7,87.8,Clear,27.0,10.0,0.007711515863689778,1,0.8333333333333335
490717,I-5 N,Wednesday,Lynnwood,15,6,63.0,Scattered Clouds,52.0,10.0,0.007711515863689778,1,0.91
2791959,I-5 N,Thursday,Seattle,5,5,50.0,Mostly Cloudy,83.0,10.0,0.007711515863689778,1,0.9166666666666665
7682272, S 1st St,Wednesday,Shelton,21,5,48.0,Partly Cloudy,71.0,10.0,0.0,1,0.95
7001312,I-5 S,Monday,Lakewood,15,6,78.0,Fair,35.0,10.0,0.0,1,0.82
1867859,118th Ave SE,Tuesday,Bellevue,9,9,63.0,Cloudy,70.0,10.0,0.0,1,0.7066666666666666
560646,WA-525 N,Saturday,Lynnwood,0,7,66.0,Cloudy,70.0,10.0,0.0,1,0.56
5218056,I-5 S,Wednesday,Seattle,14,2,37.0,Fair,34.0,10.0,0.0,1,0.6814285714285714
7349480,I-5 N,Thursday,Seattle,12,9,66.0,Cloudy,65.0,10.0,0.0,1,0.725
7453544, Pacific Ave SE,Thursday,Olympia,2,11,45.0,Overcast,93.0,3.0,0.007711515863689778,1,0.69
3158517,I-5 N,Sunday,Seattle,1,11,39.0,Light Rain,93.0,4.0,0.04,1,0.6425
2070206,I-5 N,Sunday,Seattle,15,6,78.0,Fair,29.0,10.0,0.0,1,0.7025
1685102,I-5 N,Wednesday,Seattle,1,12,50.0,Cloudy,71.0,10.0,0.0,1,0.6733333333333333
7520173, NE Park Dr,Friday,Renton,14,6,60.1,Light Rain,80.0,10.0,0.01,1,0.5033333333333334
4180131,I-5 S,Sunday,Chehalis,8,12,36.0,Light Rain,100.0,6.0,0.0,1,0.662
2765692,WA-18 W,Thursday,Federal Way,17,6,68.0,Mostly Cloudy,59.0,10.0,0.007711515863689778,1,0.68
1231105,Poplar Way,Sunday,Lynnwood,9,12,47.0,Fog,93.0,2.0,0.0,1,0.6
7625839,I-405 N,Tuesday,Renton,15,10,64.0,Clear,60.0,10.0,0.007711515863689778,1,0.98
2072370,S 72nd St,Friday,Tacoma,15,5,75.0,Fair,61.0,10.0,0.0,1,0.5583333333333333
1454644,I-405 N,Friday,Bellevue,18,5,75.0,Fair,28.0,10.0,0.0,1,0.6981666666666666
4201523,S Kent des Moines Rd,Monday,Kent,13,2,45.0,Mostly Cloudy,65.0,10.0,0.0,1,0.61
1560137,I-5 S,Friday,Seattle,23,2,43.0,Cloudy / Windy,80.0,10.0,0.0,1,0.67
7395427,I-5 S,Monday,Marysville,1,2,26.1,Overcast,92.0,10.0,0.0,1,0.745
7446051, State Route 2,Saturday,Snohomish,12,11,53.1,Light Rain,93.0,6.0,0.01,1,0.6233333333333334
1618791,WA-18 W,Tuesday,Federal Way,12,2,34.0,Light Snow,92.0,0.75,0.03,1,0.545
946118,I-5 S,Wednesday,Everett,6,7,58.0,Fair,78.0,10.0,0.0,1,0.66
4558699,I-5 S,Tuesday,Chehalis,15,9,73.0,Fair,61.0,10.0,0.0,1,0.7175
314109,I-90 E,Sunday,Cle Elum,15,7,63.0,Partly Cloudy,52.0,9.03798932831721,0.007711515863689778,1,0.8392857142857143
2836076,I-5 S,Thursday,Seattle,20,5,66.9,Clear,59.0,10.0,0.007711515863689778,1,0.82
1370698,I-5 N,Tuesday,Vancouver,14,7,67.0,Light Rain,61.0,7.0,0.0,1,0.6316666666666666
7626725,I-5 N,Thursday,Kent,9,10,52.0,Overcast,89.0,5.0,0.007711515863689778,1,0.87
2942968,I-5 N,Sunday,Tacoma,12,3,49.3,Mostly Cloudy,67.0,10.0,0.007711515863689778,1,0.895
785941,I-5 S,Thursday,Kent,14,12,44.0,Light Rain,79.0,8.0,0.0,1,0.575
7564344,I-5 N,Thursday,Everett,16,2,43.0,Light Rain,97.0,6.0,0.03,1,0.725
823900,I-5 N,Thursday,Seattle,9,11,53.0,Cloudy,89.0,7.0,0.04,1,0.61
1889669,I-5 S,Sunday,Lynnwood,5,9,59.0,Cloudy,90.0,10.0,0.0,1,0.74
2253733,I-5 N,Monday,Tenino,8,2,27.0,Overcast,85.0,10.0,0.007711515863689778,1,0.85
7182829,I-5 N,Tuesday,Lynnwood,9,1,46.0,Mostly Cloudy,79.0,10.0,0.0,1,0.5766666666666667
7619491,I-5 S,Saturday,Seattle,2,10,52.0,Mostly Cloudy,86.0,10.0,0.007711515863689778,1,0.83
7430963,I-90 E,Monday,Spokane,8,12,32.0,Fog,92.0,0.1,0.007711515863689778,1,0.52
1386239,58th Street Ct E,Wednesday,Puyallup,5,7,59.0,Cloudy,88.0,10.0,0.0,1,0.63
3075133,I-5 S,Wednesday,Kalama,6,1,46.4,Light Rain,93.0,10.0,0.02,1,0.87
2789281,NE 116th St,Wednesday,Kirkland,16,5,68.0,Partly Cloudy,39.0,10.0,0.007711515863689778,1,0.78
729079,I-5 S,Friday,Seattle,18,1,47.0,Cloudy,74.0,10.0,0.0,1,0.59
2599814,I-5 S,Wednesday,Seattle,18,9,68.0,Clear,55.0,10.0,0.007711515863689778,1,0.83
311589,I-5 S,Thursday,Tacoma,10,8,67.8,Clear,69.0,10.0,0.007711515863689778,1,0.655
3214690,I-90 E,Wednesday,Seattle,16,10,66.9,Clear,36.0,10.0,0.007711515863689778,1,0.79
3083857,52nd Ave W,Monday,Mountlake Terrace,16,1,48.0,Light Rain,93.0,3.0,0.01,1,0.61
2225829,Rainier Ave S,Saturday,Seattle,19,3,55.0,Partly Cloudy,55.0,10.0,0.007711515863689778,1,0.58
2920649,I-5 S,Tuesday,Lynnwood,9,3,43.0,Clear,68.0,10.0,0.007711515863689778,1,0.94
3611019,I-5 N,Saturday,Seattle,19,5,50.0,Overcast,74.0,10.0,0.007711515863689778,1,0.91
1969593,I-5 N,Sunday,Seattle,18,7,85.0,Fair,21.0,10.0,0.0,1,0.74
3534130, NE 190th Ct,Thursday,Woodinville,7,10,52.0,Light Rain,89.0,10.0,0.0,1,0.575
3980620,I-5 N,Thursday,Marysville,18,9,63.0,Fair,70.0,10.0,0.0,1,0.82
7633429,NE 12th St,Thursday,Bellevue,16,9,73.9,Partly Cloudy,25.0,10.0,0.007711515863689778,1,0.67
436096,NE 30th St,Monday,Renton,11,4,59.0,Overcast,58.0,10.0,0.007711515863689778,1,0.77
490444,Cooper Point Rd SW,Sunday,Olympia,21,6,60.1,Clear,69.0,10.0,0.007711515863689778,1,0.54
7530059,I-5 N,Friday,Tacoma,16,5,61.0,Scattered Clouds,56.0,10.0,0.007711515863689778,1,0.91
3390276,I-5 N,Thursday,Everett,19,8,64.0,Clear,60.0,10.0,0.007711515863689778,1,0.83
311149,I-405 N,Tuesday,Bellevue,11,10,51.1,Clear,71.0,10.0,0.007711515863689778,1,0.93
2043912,I-5 S,Saturday,Seattle,14,6,71.0,Fair,51.0,10.0,0.0,1,0.85
562659,I-405 N,Thursday,Bothell,11,7,66.0,Fair,60.0,10.0,0.0,1,0.507
2381989,14th Ave SE,Tuesday,Olympia,15,12,48.0,Light Rain,93.0,5.0,0.29,1,0.62
7700751,I-405 S,Thursday,Bellevue,12,8,70.0,Cloudy,68.0,7.0,0.0,1,0.7716666666666666
3598412, Marvin Rd SE,Saturday,Lacey,17,4,57.9,Partly Cloudy,39.0,10.0,0.007711515863689778,1,0.88
5277342,I-405 S,Friday,Bellevue,8,7,63.0,Fair,63.0,10.0,0.0,1,0.675
307131,WA-16 E,Thursday,Tacoma,21,12,43.2,Overcast,99.0,10.0,0.0,1,0.54
7390732,I-5 S,Monday,Everett,14,2,25.0,Mostly Cloudy,78.0,10.0,0.007711515863689778,1,0.85375
7098429,I-5 S,Tuesday,Mount Vernon,12,3,48.0,Fair,76.0,10.0,0.0,1,0.7733333333333333
1577400,I-405 N,Saturday,Bellevue,9,1,45.0,Cloudy,80.0,10.0,0.0,1,0.84
395597,54th Ave E,Tuesday,Tacoma,3,2,35.6,Overcast,99.0,10.0,0.007711515863689778,1,0.836
308476,I-90 E,Friday,Seattle,10,1,34.0,Mostly Cloudy,59.0,10.0,0.007711515863689778,1,0.73
5123251,I-90 E,Tuesday,Ellensburg,11,11,31.0,Cloudy,69.0,8.0,0.0,1,0.7020000000000001
7592895,I-405 N,Friday,Bellevue,9,12,44.1,Overcast,79.0,10.0,0.007711515863689778,1,0.89
4430426,I-405 S,Tuesday,Bellevue,14,6,64.0,Cloudy,63.0,10.0,0.0,1,0.55
7526265,I-5 S,Tuesday,Mount Vernon,13,6,64.4,Scattered Clouds,59.0,10.0,0.007711515863689778,1,0.825
395971,I-5 N,Friday,Tacoma,0,3,53.6,Light Rain,88.0,10.0,0.007711515863689778,1,0.83
7413475,I-5 N,Monday,Burlington,14,1,50.0,Clear,66.0,10.0,0.007711515863689778,1,0.74
7572691,I-90 W,Monday,Ellensburg,8,2,27.0,Clear,36.0,10.0,0.007711515863689778,1,0.73
1584887,D St,Wednesday,Blaine,3,1,16.0,Snow,81.0,0.5,0.03,1,0.94
7543771, E Badger Rd,Thursday,Everson,13,4,48.9,Partly Cloudy,71.0,10.0,0.007711515863689778,1,0.6375
933501,I-5 S,Friday,Lakewood,17,8,78.0,Fair,33.0,10.0,0.0,1,0.71
511428,I-5 N,Monday,Tacoma,17,7,74.7,Scattered Clouds,43.0,10.0,0.007711515863689778,1,0.58
4586718, State Route 508,Tuesday,Chehalis,17,2,37.0,Mostly Cloudy,100.0,10.0,0.0,1,0.78
311312,I-5 S,Friday,Tacoma,21,10,51.8,Mostly Cloudy,100.0,10.0,0.007711515863689778,1,0.8916666666666666
3581054,WA-16 E,Sunday,Port Orchard,22,3,44.6,Overcast,100.0,10.0,0.007711515863689778,1,0.77
4283966,I-5 N,Thursday,Tacoma,7,2,30.0,Cloudy,86.0,10.0,0.0,1,0.504
3610547,I-90 E,Wednesday,Liberty Lake,17,5,78.1,Clear,27.0,10.0,0.007711515863689778,1,0.76
3390268,I-405 N,Thursday,Bothell,16,8,66.0,Clear,52.0,10.0,0.007711515863689778,1,0.9433333333333335
4027846,I-5 N,Tuesday,Kalama,10,11,43.0,Mostly Cloudy,82.0,10.0,0.0,1,0.62
1721364,WA-18 W,Saturday,Federal Way,6,12,45.0,Light Rain,93.0,2.0,0.02,1,0.64
923888,I-5 N,Wednesday,Bellingham,15,8,74.0,Fair,53.0,10.0,0.0,1,0.76
1576650,I-5 S,Friday,Seattle,20,1,45.0,Light Rain,82.0,10.0,0.0,1,0.72
791038,I-5 S,Monday,Seattle,2,11,53.0,Mostly Cloudy,93.0,10.0,0.0,1,0.72
1582523,I-5 N,Tuesday,Arlington,11,1,27.0,Light Snow,89.0,4.0,0.02,1,0.62
7360347,NE 44th St,Friday,Renton,10,9,72.0,Fair,64.0,8.0,0.0,1,0.6275
3369210,Bendigo Blvd S,Tuesday,North Bend,11,8,68.0,Clear,59.0,9.0,0.007711515863689778,1,0.69
5701523,I-90 E,Friday,Mercer Island,16,12,43.0,Light Rain,86.0,10.0,0.0,1,0.6883333333333332
3860419, State Route 203,Wednesday,Monroe,5,5,52.0,Light Rain,89.0,10.0,0.0,1,0.5268333333333334
781220,Deschutes Way SW,Monday,Tumwater,17,12,45.0,Fog,97.0,2.0,0.0,1,0.5760000000000001
1183247,I-5 N,Friday,Seattle,10,1,51.0,Mostly Cloudy,86.0,10.0,0.0,1,0.5083333333333333
4998551,I-5 S,Tuesday,Seattle,13,11,47.0,Light Rain,100.0,1.0,0.02,1,0.7466666666666667
3579306,I-5 N,Monday,Marysville,23,2,30.2,Overcast,80.0,2.0,0.007711515863689778,1,0.82
1284144,I-5 S,Wednesday,Ferndale,14,9,78.0,Smoke,43.0,10.0,0.0,1,0.6466666666666667
7503195,I-5 S,Friday,Seattle,12,8,68.0,Overcast,52.0,8.0,0.007711515863689778,1,0.8048333333333333
1576629,I-5 N,Friday,Federal Way,15,1,43.0,Light Rain,89.0,7.0,0.03,1,0.79
842692,I-90 E,Tuesday,Cle Elum,5,10,38.0,Mostly Cloudy,86.0,10.0,0.0,1,0.65
2169312,NE 85th St,Saturday,Kirkland,16,4,58.0,Partly Cloudy,56.0,10.0,0.0,1,0.74
2188268,I-5 N,Sunday,Seattle,19,3,37.9,Clear,29.0,10.0,0.007711515863689778,1,0.87
894177,I-405 S,Sunday,Kirkland,7,9,53.0,Light Rain,96.0,2.0,0.02,1,0.59
3949465,WA-167 S,Saturday,Auburn,2,1,42.0,Light Rain,92.0,6.0,0.02,1,0.5451666666666666
7434075,I-90 W,Thursday,Mercer Island,18,12,48.9,Overcast,86.0,10.0,0.0,1,0.73
3227113,Renton Issaquah Rd SE,Tuesday,Issaquah,16,10,59.0,Overcast,64.0,10.0,0.007711515863689778,1,0.545
3196793,Pacific Hwy SE,Sunday,Olympia,1,11,43.0,Mostly Cloudy,100.0,3.0,0.007711515863689778,1,0.71
1865398,W Seattle Brg E,Monday,Seattle,13,9,60.0,Light Rain,78.0,9.0,0.0,1,0.71
7614656,I-5 S,Saturday,Seattle,16,11,48.9,Light Rain,90.0,10.0,0.01,1,0.84
2298493,I-5 N,Tuesday,Everett,6,2,32.0,Mostly Cloudy,73.0,10.0,0.007711515863689778,1,0.6
2754699,I-5 N,Friday,Dupont,0,6,49.6,Clear,99.0,10.0,0.007711515863689778,1,0.75
1033996,WA-500 W,Saturday,Vancouver,23,5,65.0,Fair,54.0,10.0,0.0,1,0.6083333333333334
7522134,I-5 N,Thursday,Seattle,11,6,61.0,Overcast,60.0,10.0,0.007711515863689778,1,0.84
7492244, 236th Ave SE,Wednesday,Enumclaw,15,9,71.6,Clear,50.0,10.0,0.007711515863689778,1,0.82
2379391,I-5 N,Monday,Tacoma,4,12,38.7,Mostly Cloudy,100.0,10.0,0.01,1,0.8016666666666665
7329675,I-90 W,Tuesday,Bellevue,9,11,49.0,Cloudy,90.0,9.0,0.0,1,0.94
3527074,I-5 N,Thursday,Seattle,16,11,50.0,Scattered Clouds,71.0,10.0,0.007711515863689778,1,0.7983333333333335
308640,I-90 E,Thursday,Bellevue,10,1,48.9,Light Rain,71.0,10.0,0.0,1,0.655
7350758,I-90 W,Friday,Spokane,9,9,48.0,Light Rain,80.0,10.0,0.0,1,0.55
3950391,I-5 S,Sunday,Bellingham,21,8,58.0,Fair,93.0,10.0,0.0,1,0.75
7094468,I-5 N,Sunday,Seattle,2,3,48.0,Light Rain,89.0,10.0,0.06,1,0.78
7704847,WA-167 N,Wednesday,Renton,18,7,69.0,Cloudy,63.0,9.0,0.0,1,0.7
7460658,I-5 S,Tuesday,Auburn,6,11,53.1,Mostly Cloudy,89.0,10.0,0.22,1,0.58
6279179,State Route 2,Tuesday,Lake Stevens,22,12,48.0,Cloudy,89.0,10.0,0.0,1,0.5491666666666667
6485659,I-5 S,Wednesday,Vancouver,3,1,51.0,Mostly Cloudy,66.0,10.0,0.0,1,0.57
7186499,I-5 N,Thursday,Olympia,7,1,54.0,Light Rain,100.0,10.0,0.0,1,0.6759999999999999
7048626,I-405 S,Thursday,Bellevue,17,6,74.0,Mostly Cloudy,38.0,10.0,0.0,1,0.74
788778,Madison St,Tuesday,Seattle,17,11,54.0,Cloudy,86.0,10.0,0.0,1,0.53
307994,Tumwater Blvd SW,Wednesday,Olympia,9,12,34.0,Mostly Cloudy,100.0,5.0,0.007711515863689778,1,0.63
7578633, State Route 410 E,Wednesday,Buckley,23,1,35.6,Clear,100.0,9.0,0.007711515863689778,1,0.5233333333333333
4949806,I-90 W,Monday,Snoqualmie,14,4,47.0,Fair,80.0,9.0,0.0,1,0.59
4520065,I-5 S,Tuesday,Seattle,14,5,58.0,Mostly Cloudy,56.0,10.0,0.0,1,0.6506666666666666
3601046,I-5 N,Friday,Seattle,6,5,54.0,Overcast,97.0,10.0,0.007711515863689778,1,0.76
3107490,I-5 N,Friday,Tacoma,8,12,28.4,Light Freezing Fog,100.0,9.03798932831721,0.007711515863689778,1,0.72
512082,I-405 N,Wednesday,Lynnwood,21,7,60.1,Clear,80.0,10.0,0.007711515863689778,1,0.93
2064561,I-90 W,Wednesday,Bellevue,18,6,64.0,Cloudy,70.0,10.0,0.0,1,0.795
396212,I-5 S,Wednesday,Olympia,10,3,52.0,Overcast,71.0,10.0,0.007711515863689778,1,0.885
7325107,I-5 N,Friday,Everett,15,11,54.0,Mostly Cloudy,66.0,10.0,0.0,1,0.89
312501,I-5 S,Tuesday,Toledo,12,9,64.0,Cloudy,77.0,10.0,0.0,1,0.67
5280648,WA-500 E,Wednesday,Vancouver,7,4,39.0,Cloudy,82.0,10.0,0.0,1,0.6291666666666668
7459970,Renton Issaquah Rd SE,Monday,Issaquah,13,11,53.1,Light Rain,89.0,9.03798932831721,0.0,1,0.555
1356834,I-90 E,Friday,Seattle,8,10,56.0,Mostly Cloudy,75.0,10.0,0.0,1,0.62
6328285,I-5 N,Friday,Olympia,17,2,28.0,Light Snow,99.0,1.0,0.0,1,0.7318333333333333
1336085,Pioneer Hwy E,Sunday,Arlington,13,10,53.0,Cloudy,96.0,6.0,0.03,1,0.62
2355313,I-5 N,Monday,Seattle,15,1,48.0,Mostly Cloudy,58.0,10.0,0.007711515863689778,1,0.62
511690,I-5 S,Tuesday,Seattle,12,7,69.1,Clear,47.0,10.0,0.007711515863689778,1,0.72
2905000,I-5 S,Friday,Olympia,14,4,54.0,Overcast,80.0,9.0,0.0,1,0.6
896560,I-5 S,Thursday,Seattle,16,9,80.0,Mostly Cloudy,47.0,10.0,0.0,1,0.855
6584520,I-405 S,Wednesday,Bellevue,0,11,48.0,Light Rain,86.0,7.0,0.03,1,0.6191666666666666
490996,I-405 S,Thursday,Bothell,16,6,72.0,Clear,53.0,10.0,0.007711515863689778,1,0.76
4895458,WA-167 S,Saturday,Auburn,2,1,42.0,Light Rain,92.0,6.0,0.02,1,0.5451666666666666
1286032,S Kent des Moines Rd,Friday,Kent,10,9,62.0,Smoke,72.0,1.0,0.0,1,0.51
798532,Lewis and Clark Hwy W,Monday,Vancouver,18,11,45.0,Cloudy,80.0,10.0,0.0,1,0.7
6947480, SE Evergreen Blvd,Tuesday,Washougal,13,6,73.0,Fair,31.0,10.0,0.0,1,0.72
7567263,I-90 E,Wednesday,Greenacres,12,2,51.1,Clear,61.0,10.0,0.007711515863689778,1,0.85
2754702,I-5 N,Friday,Lynnwood,2,6,51.1,Clear,92.0,10.0,0.007711515863689778,1,0.765
555677,I-5 S,Thursday,Tacoma,17,7,80.0,Fair,45.0,10.0,0.0,1,0.61
3583410,I-5 N,Wednesday,Federal Way,9,3,48.0,Overcast,100.0,4.0,0.01,1,0.7333333333333333
709754,I-5 S,Monday,Seattle,0,2,40.0,Fair,93.0,9.0,0.0,1,0.54
842007,I-5 N,Monday,Olympia,23,10,51.0,Light Rain,74.0,10.0,0.01,1,0.71
1908299,State Highway 18,Tuesday,Snoqualmie,16,9,61.0,Light Rain,81.0,10.0,0.0,1,0.7
2265152,I-5 S,Saturday,Dupont,9,2,31.1,Mostly Cloudy,99.0,10.0,0.01,1,0.84
1761360,I-5 S,Tuesday,Seattle,8,10,56.0,Light Rain,90.0,5.0,0.0,1,0.6028333333333333
1816443,54th Ave E,Sunday,Tacoma,8,11,54.0,Light Rain,100.0,6.0,0.0,1,0.705
548219,I-5 S,Friday,Tacoma,14,7,91.0,Fair,38.0,10.0,0.0,1,0.53
6651981,I-405 S,Friday,Bothell,22,11,46.0,Cloudy,79.0,10.0,0.01,1,0.537
2691462,I-405 N,Thursday,Renton,3,7,63.0,Clear,75.0,10.0,0.007711515863689778,1,0.91
3600607,I-5 S,Tuesday,Seattle,9,5,53.1,Overcast,80.0,10.0,0.007711515863689778,1,0.6666666666666667
7621579,I-405 S,Thursday,Lynnwood,8,10,46.9,Overcast,83.0,10.0,0.007711515863689778,1,0.83
7444030,I-5 N,Monday,Tacoma,13,12,43.5,Clear,83.0,10.0,0.007711515863689778,1,0.84
5937019,US-12 E,Thursday,Benton City,20,5,66.0,Blowing Dust / Windy,33.0,10.0,0.0,1,0.6166666666666667
2470931,I-5 N,Monday,Tacoma,17,11,55.4,Light Rain,100.0,8.0,0.05,1,0.64
5570661,I-5 S,Tuesday,Marysville,6,11,50.0,Cloudy / Windy,82.0,10.0,0.0,1,0.67
1691201,I-405 N,Saturday,Bellevue,2,12,47.0,Light Rain,93.0,6.0,0.02,1,0.81
2749965,41st St,Wednesday,Everett,15,6,54.0,Light Rain,90.0,10.0,0.0,1,0.7333333333333333
2345726,I-5 N,Tuesday,Seattle,22,1,48.0,Light Rain,89.0,6.0,0.11,1,0.8466666666666667
1685099,I-405 N,Tuesday,Bothell,23,12,50.0,Cloudy,68.0,10.0,0.0,1,0.7390000000000001
3556274,I-405 N,Wednesday,Bothell,15,2,35.1,Light Rain,92.0,2.0,0.03,1,0.87
5441095,I-5 S,Saturday,Toledo,12,12,46.0,Light Rain,93.0,3.0,0.0,1,0.65
7624259,I-405 N,Thursday,Bellevue,20,10,51.1,Mostly Cloudy,89.0,10.0,0.02,1,0.62
4564087,I-5 N,Saturday,Federal Way,15,6,86.0,Fair,31.0,10.0,0.0,1,0.88
2967434,I-5 N,Wednesday,Seattle,23,3,46.0,Overcast,73.0,10.0,0.007711515863689778,1,0.75
307857,I-5 N,Thursday,Seattle,9,12,37.9,Overcast,86.0,10.0,0.007711515863689778,1,0.6565000000000001
3340399,WA-18 E,Monday,Federal Way,18,7,82.0,Clear,31.0,10.0,0.007711515863689778,1,0.86
1931633,I-90 W,Thursday,Seattle,15,8,78.0,Partly Cloudy,50.0,10.0,0.0,1,0.78
3539645,I-5 N,Wednesday,Everett,13,8,63.0,Light Rain,81.0,10.0,0.02,1,0.615
2304205,I-405 N,Wednesday,Bothell,17,1,44.1,Overcast,60.0,10.0,0.007711515863689778,1,0.8333333333333333
4171561,I-5 S,Sunday,Burlington,16,1,41.0,Cloudy,93.0,10.0,0.0,1,0.5933333333333334
